"hanzi","pinyin","english_definition"
"𫐖","gaau1",
"𫍯","haam4",
"㠳","jap6",
"䦋","ngou4",
"䁞","saang2",
"䚲","saan3",
"㐩","xíng",
"𦞫","sài",
"襄","soeng1",
"𱞌","huā",
"絇","keoi4",
"薂","hat6",
"駛","sai2",
"𧫜","jì",
"熘","lau6",
"岐","kei4",
"𧰊","tin4",
"郛","fu1",
"墖","taap3",
"𢾆","kāi",
"糹","mik6",
"𥆛","xù",
"㼊","tyun4",
"餍","jim3",
"䦹","shí",
"礿","joek6",
"𥱥","ceoi4",
"聫","lyun4",
"𦾸","duān",
"𡘰","juàn",
"㛑","caan3",
"𥫛","zhuān",
"䨸","yǐn",
"𥈟","sau2",
"𦖍","huà",
"尼","nei4",
"𦠜","jip6",
"𣉞","gou2",
"迏","dai3",
"𣟈","chuì",
"塺","mui4",
"𦳦","zāi",
"篥","leot6",
"𧧆","duī",
"萠","pang4",
"憯","caam2",
"滘","gaau3",
"矣","ji5",
"鴻","hung4",
"𡚅","kuǎi",
"嬮","jim1",
"𡖺","miè",
"𧄛","jú",
"䴞","dik6",
"𩢔","bàn",
"竗","miu6",
"苒","jim5",
"炁","hei3",
"𥊿","mián",
"盕","faan3",
"𩐻","mò",
"㬎","hin2",
"𣢳","dìng",
"馦","him1",
"𫌨","lo4",
"䠎","ak1",
"𠌊","paa4",
"繌","zung1",
"嘘","heoi1",
"𦕰","duo",
"𤕄","zhǎng",
"𰶈","ci4",
"潭","taam4",
"𩒪","zhèn",
"㴵","mat6",
"橏","zin2",
"誒","oi1",
"繕","sin6",
"蚐","gwan1",
"䞺","ceon1",
"醋","cou3",
"㾊","jí,cì,sè",
"𨥇","zhǒu,zhù",
"𪔿","pū",
"𢾫","zhǐ",
"㠭","zin2",
"𨣧","jì",
"䁘","yǎo",
"䚬","leon4",
"㐫","hung1",
"𪀩","qí,dàn,chú",
"襶","daai3",
"𨳛","xī",
"絁","si1",
"蕼","sei3",
"𪃾","jung4",
"𤽃","mèi",
"鶐","wat6",
"熚","bat1",
"岊","zit3",
"𦯐","sháo",
"郝","kok3",
"墈","ham3",
"㜑","po4",
"𠸹","yú",
"萮","jyu4",
"礱","lung4",
"𢎔","jié",
"聬","jung2",
"𢺴","yù",
"𨓰","jié",
"𡹩","qì",
"𠐈","biān,pián",
"𣚓","juàn",
"𢊀","sī,mà",
"𦏕","dú",
"㛃","git3",
"𥰰","shì,shé",
"𬬸","seot6",
"尾","mei5",
"𨩸","quān,juān",
"迉","qī",
"塴","bang6",
"篧","zuk1",
"萒","jin5",
"懩","joeng5",
"𫐆","kyut3",
"砝","faat3",
"㥎","lái",
"巧","haau2",
"嬰","jing1",
"𲆰","xī",
"圦","faai3",
"㖯","tung4",
"𧟠","mìng",
"䤖","bou6",
"灻","cek3",
"𪑩","diàn",
"盏","zaan2",
"𤻌","wò",
"𨹵","juǎn",
"𡙋","xì",
"𪈩","huān",
"䠈","teot1",
"𠫘","jiān",
"䵱","xì,xī",
"𠒰","niǎo,ní",
"𣂁","tiāo,qiāo",
"繄","ji1",
"嘚","dak1",
"𦄯","zhuǎn",
"鯗","soeng2",
"𡗁","gōu",
"潯","cam4",
"𩛌","shì",
"𨷿","hoeng3",
"𢉘","yán",
"㴯","zi1",
"𪗷","yì",
"誄","loi6",
"纏","cin4",
"𠐑","dì",
"蚊","man1",
"䞼","cyun2",
"醅","pui1",
"𣊧","lǎng,zhào",
"𫞠","ling4",
"𩛠","zuō",
"𨾞","jiǔ",
"𫍤","giu2",
"𦥐","zhì",
"𦊧","hú",
"𠷍","tà",
"㠟","lai4",
"䁚","syun2",
"䆻","kiu3",
"䚮","réng",
"㐥","co4",
"𠪣","shè",
"𡱾","jū",
"𬹼","haai6",
"𠵷","xuàn",
"襰","laai6",
"𢈯","shēn",
"斝","gaa2",
"絃","jin4",
"𤕀","chèng",
"楓","fung1",
"𨞘","xǐ",
"𣔻","tú,chán",
"鶒","cik1",
"熔","jung4",
"䴐","bou2",
"岌","kap1",
"𣝦","ceoi3",
"郗","ci1",
"墂","biu1",
"𢎹","jué",
"紵","cyu5",
"㽆","dong1",
"劘","mo4",
"礫","lik1",
"𡱼","kè,kuà",
"聦","cung1",
"𢷖","duǎn",
"𥒘","xún",
"𣌍","niè",
"㚽","haau2",
"歑","fu1",
"黭","yǎn",
"屸","lung4",
"𨩋","wai6",
"辻","sap6",
"塶","luk6",
"𩩘","yǔ",
"篡","saan3",
"倈","loi4",
"懫","zi3",
"砟","zaa3",
"𨱃","gu1",
"巡","ceon4",
"嬪","pan4",
"躭","daam1",
"𣣩","xiē",
"在","zoi6",
"竓","hou4",
"𩾞","wán",
"人","jan4",
"災","zoi1",
"监","gaam1",
"𥂝","am1",
"𠜵","guā",
"𢸭","lóng",
"𠮰","pǐn",
"䜼","guk1",
"𦥏","zhì",
"淰","naam5",
"䠊","fei6",
"𱈇","gang2",
"𤠯","táng",
"娎","hit3",
"𤄔","zá",
"𩲅","kuí",
"嘔","au2",
"蘔","gwing2",
"䰫","caau1",
"鵑","gyun1",
"潩","ji6",
"𩨫","kǔn",
"𨤍","ling4",
"㴱","sam1",
"𦭴","zhōu",
"詾","hung1",
"纑","lou4",
"䮆","pei1",
"𥿵","móu",
"䛶","loi6",
"酷","huk6",
"魄","paak3",
"𪗾","xiá",
"𡾾","yì",
"㠙","hou4",
"䁔","hyun1",
"𡪑","è",
"䚨","fai3",
"㑗","shēn",
"𨸮","yán,yǔn",
"𥠲","lì",
"𠳴","lóu",
"襲","zaap6",
"紽","to4",
"蕨","kyut3",
"鶌","gwat6",
"燆","hiu4",
"𱌫","jin6",
"岆","jiu2",
"𢚁","jì",
"墄","cak1",
"𩜷","yòu,niù",
"累","leoi6",
"葚","sam6",
"𧡪","dān,dàn",
"䖌","yì",
"礭","kok3",
"聘","ping3",
"䍙","mui4",
"𦫉","rán",
"胤","jan6",
"𤸫","yùn",
"𮉨","gwaa1",
"㚿","páo",
"𦁲","jiǎn",
"黧","lai4",
"屪","liu4",
"橑","lou5",
"辵","coek3",
"塰","hoi2",
"𩈶","nǎn",
"簓","diu1",
"俺","aan2",
"懥","zi3",
"砙","ngaa5",
"𢺷","qí",
"𪒍","miè",
"巣","caau4",
"嬜","jam1",
"𠵺","bā",
"𪀔","si1",
"躧","saai2",
"䴌","mung4",
"竅","kiu3",
"茀","fat1",
"灷","zyun6",
"盋","but3",
"𥤗","dǎng",
"𩢳","qú",
"𩄍","cau1",
"𪊴","syun1",
"𩿤","zhá",
"䑽","tà",
"淲","piu4",
"䠄","tin2",
"娈","lyun2",
"绘","kui1",
"嘆","taan3",
"𡐏","tuǒ",
"𥾕","wù",
"臬","jit6",
"潛","cim4",
"𥫳","fāng",
"𦹮","coi2",
"㵫","nì",
"誀","nei6",
"𩞆","chuáng",
"𪮖","zyut6",
"㥩","do2",
"𬜥","laam4",
"歛","lim5",
"䛨","seon3",
"潍","wai4",
"𠃮","tam5",
"𣢥","diàn",
"𡺯","yáo",
"𤛏","cǔ",
"㠛","waak6",
"䁆","yè",
"𥳗","xū",
"䚚","sin2",
"㑑","zat6",
"䴩","piu4",
"襬","baai2",
"絯","goi1",
"𦍌","jam5",
"蕪","mou4",
"鈈","bat1",
"燀","cin2",
"𦠛","zā",
"墾","han2",
"䧼","huk6",
"㜇","huì,yè",
"㼲","liè",
"𧊜","è",
"䖆","niàng",
"礧","leoi6",
"聒","kut3",
"𣙢","juàn",
"𬳾","ci4",
"𢖇","zhì",
"㓿","syu2",
"㛹","pin4",
"𥽧","qū",
"𥍻","yǎn",
"黩","duk6",
"層","cang4",
"𠯟","jin6",
"辷","jat1",
"吆","jiu1",
"塢","wu2",
"𠢱","jìn",
"簍","lau5",
"荈","cyun2",
"懗","haa3",
"魖","heoi1",
"砋","zi2",
"川","cyun1",
"孖","zi1",
"𩊣","zhū",
"躩","fok3",
"𢛦","yǐn",
"坔","dei6",
"塠","deoi1",
"窿","lung1",
"仦","caau3",
"炩","ling6",
"盽","fung1",
"𨢤","hù",
"𪉨","chāng",
"𠌠","yáo",
"䑯","dì",
"淬","ceoi3",
"䟶","co3",
"𥇱","xiè",
"娊","jin6",
"噀","seon3",
"臞","keoi4",
"潕","mou5",
"𡇯","hùn",
"𡳮","jī",
"𢢍","zhé",
"𣤲","è",
"𠡜","kè",
"繽","ban1",
"𧀘","kēng",
"𢈉","tóng",
"䛢","tuk1",
"潇","siu1",
"𡙀","biē",
"𤻢","ài",
"𡷺","guǐ",
"𢈾","cōu",
"𦵬","zù",
"㡕","yīng",
"𨵃","guā,fǔ,yuè",
"𰺣","leon6",
"𦎈","xiáng,xiè",
"䛔","naa4",
"㑓","zeon3",
"𦳢","wèi",
"櫐","leoi5",
"襞","bik1",
"䦇","gai3",
"絩","tiu3",
"𦖭","jyu4",
"薤","haai6",
"䋺","cau1",
"𤞗","chái",
"鵸","kei4",
"燂","taam4",
"岲","fong3",
"𣻒","jīng",
"𡭸","luàn",
"䜾","yīn",
"𰩻","zaa1",
"紛","fan1",
"葖","dat6",
"䤄","min5",
"䖈","joek6",
"硙","wui1",
"𤱝","teon2",
"联","lyun4",
"㛫","xī",
"㸦","wu6",
"鈿","tin4",
"黣","mui5",
"屦","geoi3",
"迱","to4",
"垜","do2",
"𤪧","fung6",
"簏","luk1",
"俶","cuk1",
"懑","mun6",
"𦺒","mòu",
"砅","lai6",
"𰽣","jan6",
"存","cyun4",
"𣢺","hān",
"躣","keoi4",
"𦖎","qiān",
"坎","ham2",
"𱴂","là",
"竁","ceoi3",
"鴷","lit6",
"苬","cau4",
"炣","ho2",
"盷","jyun4",
"𦊟","gu2",
"鼅","zi1",
"𡫃","níng",
"𩨲","mà",
"𣄲","kuǐ",
"𢟪","ài,xì",
"𩧏","jué",
"䑩","gu2",
"淞","sung1",
"䠰","kyun4",
"𦋯","yú",
"娄","lau4",
"𠱯","zuò",
"𡅏","lai2",
"噂","zyun2",
"𬆛","nǎo",
"𤘀","dào",
"臘","laap6",
"潗","cap1",
"𠂸","huáng",
"𠹌","něng",
"䍛","gu3",
"𧳸","gú",
"縠","huk6",
"䬴","mò",
"㔑","cat1",
"繷","nung5",
"㞟","din6",
"䛤","cuk1",
"潉","wan6",
"𠿞","shǎn",
"𧰻","líng",
"𥭫","mí",
"𨍉","cōng,zǒng",
"鱈","syut3",
"𡆥","jiù",
"𡖔","nuó",
"㡇","zip3",
"黖","hei3",
"𥹵","chù",
"䛖","è",
"㑍","lèi",
"𣏗","shù",
"覘","zim1",
"絫","leoi5",
"苔","toi4",
"薖","gwo1",
"𦱇","kōng",
"𬱙","pun3",
"鵺","je6",
"熼","jik6",
"𡶣","suì",
"墪","dan1",
"紝","jam6",
"葈","saai2",
"䖂","lyun4",
"硓","lou5",
"𨹸","zhào",
"肎","hang2",
"𦖠","sim2",
"𠲖","ji1",
"𥑻","xiān",
"𪊷","xiào",
"㛥","tà",
"㸠","tiu5",
"黕","dam2",
"屠","tou4",
"𡽝","hāo",
"迣","lit6",
"𥾅","zhú",
"垞","caa4",
"𦌬","wǔ,wú",
"簉","zou6",
"茴","wui4",
"懓","oi3",
"砇","man4",
"𤺼","lù",
"孒","kyut3",
"躕","cyu4",
"𠜋","chǒu",
"䵂","zhí",
"𤤑","qióng",
"㗙","chū,nà,zhōu",
"𧓽","lì,chài",
"茦","caak3",
"炥","fat6",
"櫚","leoi4",
"盹","deon6",
"池","ci4",
"𢼳","kuāng",
"𦧲","loe1",
"𨎬","jiào",
"䑫","bang1",
"淘","tou4",
"䠲","ling4",
"娶","ceoi2",
"𨥧","wǎn,fàn,biān",
"嘼","cuk1",
"䤎","gwat1",
"𥁕","wan1",
"臚","lou4",
"澑","lau6",
"𦠦","shù",
"镆","mok6",
"𤽺","lù",
"𪘊","è",
"䯯","so1",
"𫘭","soeng1",
"𮝵","ji4",
"繹","jik6",
"𩌩","suī",
"𣂻","ōu,kōu",
"䛞","hon5",
"潃","sau1",
"𧅚","yuè",
"𢣐","pīn",
"𨏞","pín",
"𧜣","diǎo",
"𥠉","cè",
"𦹫","zhào",
"㡁","kuǎ",
"魘","jim2",
"𩏆","yùn",
"䛐","ci4",
"㐿","sau2",
"鷞","soeng1",
"𫠀","cou3",
"𪌈","pí",
"𢬲","hè",
"覚","gok3",
"𩮑","wǒ",
"絥","fuk6",
"犤","bei1",
"薐","ling4",
"𧸗","xué",
"𫛸","tai4",
"𢩑","lì",
"熮","lau5",
"𠻡","luǒ",
"釅","jim6",
"墬","dei6",
"蔅","jin4",
"㜵","niu5",
"蒂","dai3",
"𫓾","juk6",
"䖴","yáo",
"硕","sek6",
"䄴","jyut6",
"肀","yù",
"𧥹","fēng",
"𩚹","líng",
"䏂","sau2",
"𣗍","kei4",
"𱅫","wat6",
"㖸","xué,niā",
"㛧","mǎn",
"㸒","jam4",
"葺","cap1",
"𣫔","dū",
"鸏","mung4",
"宒","zeon1",
"𧼴","fó,zhì",
"违","wai4",
"垘","baak6",
"篻","piu3",
"𨞺","lì",
"茶","caa4",
"坛","taan4",
"䤢","baat3",
"硁","hang1",
"𥃰","bīn",
"孄","laan5",
"䦶","zaang3",
"𠚺","shà",
"坊","fong1",
"𨪕","liú",
"𩶤","xiǎn",
"竭","kit3",
"䤺","gan1",
"炟","daat3",
"𩽀","chóu",
"盳","maang4",
"𣛹","chuán,chuǎi",
"𣛮","sing6",
"𠷋","hòu",
"𡺗","kān",
"䑥","ngap6",
"淚","leoi6",
"䠬","dang3",
"𧣒","jù",
"𧲾","shān",
"𦌉","sù",
"娰","ci5",
"𡺭","hòng",
"嘮","lou4",
"𤰈","bèi,fú",
"𫜄","zeon1",
"秙","fu3",
"䤆","kwai4",
"臔","jin6",
"澃","gwing3",
"痗","mui6",
"䮜","zhá,yè",
"𨚡","jǐn",
"𥗓","tà",
"𥲏","chuàn",
"𪅾","qī",
"唠","lou4",
"纳","naap6",
"𧭃","dàn",
"𦊌","juǎn",
"䜐","fai1",
"漵","zeoi6",
"棫","wik6",
"𢹸","cung4",
"𩍌","zhòu",
"𧊙","zhǐ",
"𥌃","zhěn",
"㡃","fong1",
"𡟣","xiāo",
"䛂","ci4",
"㑹","wui6",
"𥑬","caak3",
"覔","mik6",
"絗","wat6",
"薒","caan3",
"鼏","mik6",
"𩍻","yuán",
"醽","ling4",
"墦","faan4",
"籉","toi4",
"蒄","gun1",
"𥇚","qī",
"䖮","hoeng2",
"硏","ngaan4",
"聺","cit3",
"颞","nip6",
"𢔱","jué,què",
"𥫅","chāng",
"𢵄","cou5",
"㛡","wan6",
"𠵧","zhén,chún",
"㸌","fok3",
"𪁖","qú",
"鸑","ngok6",
"完","jyun4",
"𱖟","kuāng",
"㔓","gin2",
"迟","ci4",
"𥎃","xì",
"垊","man4",
"𩼭","liè",
"𨞲","shēn",
"㞙","niu6",
"茰","jyu4",
"虫","cung4",
"𣝽","hān",
"砳","laak6",
"置","zi3",
"嬾","laan5",
"軑","dai6",
"𦈕","tóu",
"坼","caak3",
"𠑰","xīn",
"竧","zing6",
"茢","lit6",
"炑","muk6",
"盥","gun3",
"𥚉","zī",
"𧍭","quán",
"𩰢","shǐ",
"䒗","qì",
"䠞","cuk1",
"𡞦","qióng",
"𧃚","suǐ",
"娲","wo1",
"𡴲","ngai4",
"嘨","siu3",
"𢡰","zhào",
"𠀱","mǒu",
"秛","pei1",
"𠲜","zaang1",
"舆","jyu4",
"潽","pou1",
"𣳠","hǎi,mǔ",
"痑","taan1",
"䏔","niǔ,zhǒu,ròu,nǜ",
"𦺑","bèng",
"𠯪","dāi,dǎi,è",
"𰬗","kau4",
"唚","cam3",
"𠔻","zhèng",
"䜊","zou1",
"湯","tong1",
"𩛻","zàn,zuǎn,zhān",
"𡢅","wan4",
"𰄞","tyun4",
"𰽚","kong3",
"㠽","tung4",
"𤘝","fèn",
"䚼","nuk6",
"㑻","mà",
"𧠊","mào",
"𥏝","yà",
"𡗸","zhà,kuā",
"覆","fuk1",
"𪗍","qí",
"綑","kwan2",
"𦩷","gōu",
"薌","hoeng1",
"櫔","lai6",
"𩌌","gǒng",
"𤙅","bài",
"𢣵","chú",
"𠈺","bì",
"壘","leoi5",
"𨜘","méi",
"籃","laam4",
"𠾫","xū",
"葾","jyun1",
"𡰋","huí",
"䖰","pài",
"湛","zaam3",
"鲒","git3",
"聼","teng1",
"𤼢","huǎn",
"颐","ji4",
"䣘","tong4",
"𢋇","yáo",
"㘓","laan4",
"猙","zang1",
"㸎","nip6",
"鸋","ning4",
"宎","jiu2",
"𦘍","wài,wà",
"这","ze5",
"垄","lung5",
"簷","jim4",
"𠾏","ce1",
"荢","zi6",
"𡩡","suǒ",
"𩗓","bó",
"砭","bin1",
"𨥖","jam1",
"罨","jim2",
"𩹳","suǒ",
"孀","soeng1",
"𣔼","gon1",
"軋","aat3",
"𤖞","zhì",
"坶","muk6",
"𢉧","lán,lián",
"竩","ji4",
"𣚠","zhǐ",
"茔","jing4",
"烋","haau1",
"真","zan1",
"峩","ngo4",
"𪏵","nì,lí",
"𥲚","shuàng",
"犦","bok6",
"𨸯","gū",
"𢞟","gào",
"䒑","cǎo",
"䠘","pei3",
"𨍷","rǒng",
"娬","mou5",
"𫊱","gaan2",
"𣅽","pui3",
"趯","tik1",
"𩵇","luó",
"嘪","maai5",
"𥧭","mán",
"秕","bei2",
"舀","jiu5",
"潿","wai4",
"痓","ci3",
"齖","ngaa4",
"棾","king4",
"𬂂","lo1",
"𪢠","laan4",
"𩱼","jiū",
"唜","mut6",
"𧱡","qiāng",
"䜌","lyun4",
"湱","waak6",
"蜒","jin4",
"𥆅","jiāng",
"𢄇","gǒu",
"㡯","zhái,dù,duó",
"𡛝","càn",
"䚾","rén",
"㑵","zat6",
"𪓊","yù",
"覀","sai1",
"𧳝","zhào",
"經","ging1",
"𡓽","fan1",
"𩢸","zhōu",
"𤒦","liàn,yàn",
"𢞕","huò",
"榤","git6",
"𨫡","gin6",
"歪","waai1",
"壒","oi2",
"㜛","nèn",
"𠴭","xī",
"葰","seoi1",
"䖪","zi1",
"硻","hang1",
"鲔","fui2",
"聶","nip6",
"𩧴","cyun1",
"颊","gaap3",
"焙","bui6",
"芳","fong1",
"䤐","zam2",
"華","waa4",
"㘍","jí",
"㹈","mou4",
"䮞","ceon2",
"𥊔","huǐ",
"鷽","hok6",
"守","sau2",
"𨫌","zeon3",
"𨻀","pí,bī",
"䫹","hung4",
"垆","lou4",
"𰜳","jing1",
"簱","kei4",
"荜","bat1",
"𩝽","jiàng",
"砯","ping1",
"罚","fat6",
"𡂫","péng",
"孺","jyu6",
"𨋗","ní",
"躽","jin2",
"坸","gau3",
"竣","zeon3",
"伊","ji1",
"烍","sin2",
"眡","si6",
"峣","jiu4",
"𦩿","shà",
"𨟑","lì",
"𩹿","gé",
"𥰳","xiàn",
"㝯","kiu4",
"䒓","kaai2",
"䠚","wà,wǎ",
"𦶕","shū",
"娞","neoi5",
"趩","cik1",
"噤","gam3",
"𡑀","yě,shù",
"玧","mun4",
"秇","ngai6",
"𨼯","kěn",
"舂","zung1",
"潹","saan4",
"泲","zai3",
"痍","ji4",
"𧧠","chǎo",
"棰","ceoi4",
"𬙉","daan6",
"唖","aa2",
"𧺡","bá",
"䍿","wong4",
"𡉒","tún",
"䜆","zip3",
"湫","zau1",
"𨝜","shùn",
"𨩚","bou2",
"𠽲","pán",
"𠼢","jiàng,qiàng",
"𣢻","kuǎn",
"𦽇","jiān",
"㡩","lyun4",
"𧽋","wǔ",
"𢃴","là",
"䗸","yōng",
"蠳","ang1",
"𬴍","biu1",
"𡚌","hào",
"𤦄","zhì",
"覂","fěng,bǎn",
"𠵿","pe5",
"綍","fat1",
"𡍦","huán",
"湊","cau3",
"𧊣","yì",
"𫇘","laai2",
"湏","mui6",
"𠫂","lou4",
"𫜑","fung1",
"𧾾","jǐ",
"牸","zi6",
"𩤘","nǎo",
"𰾽","suk6",
"壔","dou2",
"㜝","ǎn,yǎn",
"𧝕","wéi",
"葪","gai3",
"釉","jau6",
"䖜","wui4",
"硽","jim1",
"鲎","hau6",
"肨","pong3",
"𦼈","jù",
"颌","hap6",
"𧔅","sòu",
"𥖜","jǐn",
"㘏","dou6",
"㸺","saa1",
"𩅞","zhōng,chòng",
"鷷","zeon1",
"𤲕","lǔn",
"𣶊","mò",
"埀","seoi4",
"簣","gwai6",
"荞","kiu4",
"砩","fat1",
"𦺋","sǎo",
"罔","mong5",
"𰷠","ji4",
"孬","naau1",
"躷","ai2",
"坲","fat6",
"𨼣","gé",
"笕","gaan2",
"𥛨","shī",
"茐","cung1",
"烇","cyun2",
"眛","mui6",
"𢉭","tuí",
"峥","zang1",
"𧣹","tán",
"䒍","pong2",
"䡔","kai2",
"𨦨","pui3",
"𱰮","lǐng",
"婘","kyun4",
"𡶃","ài",
"趫","kiu4",
"𧀕","sà",
"噖","jam4",
"𡭄","cyun3",
"私","si1",
"臼","kau5",
"澫","maan6",
"泴","gun3",
"痿","wai2",
"𨑹","cōng",
"𥠜","yàng",
"焣","caau2",
"棪","jim5",
"䣚","lau4",
"唈","jap1",
"䮠","bik1",
"䍱","ceoi4",
"郎","long4",
"湝","gaai1",
"𤠪","fú",
"𩱨","rù",
"𨽏","guō",
"㡫","yì",
"䗪","ze3",
"㑡","zik1",
"𦽃","miàn",
"𧻲","hái,kuī",
"絿","kau4",
"𣘠","gǎn",
"𦱿","diu6",
"湉","tim4",
"𦪝","téng",
"𥌰","wéi",
"𨜴","hé",
"𬕛","fu1",
"𰲂","tang4",
"壎","hyun1",
"㝗","láng,lǎng",
"㥉","chè",
"葬","zong3",
"䗖","dai3",
"硷","gaan2",
"鲀","tyun4",
"肢","zi1",
"𨪒","tuán",
"𡿖","niè,yà",
"领","ling5",
"𣪁","zuān",
"㘉","zik1",
"㸴","sek6",
"𥢊","bèn",
"齘","haai6",
"鷹","jing1",
"宴","jin3",
"𥍁","guī,guì",
"垲","hoi2",
"𨰣","lai6",
"佪","wui4",
"簝","liu4",
"𨖢","kuáng",
"荘","zong1",
"睛","zing1",
"罖","mong5",
"学","hok6",
"㞭","daai6",
"㴅","siu1",
"躹","guk1",
"坤","kwan1",
"𨋬","zhěng,chèng",
"䄢","zaai1",
"㗭","xī",
"褅","tai3",
"艊","bok6",
"点","dim2",
"𥳘","dǒng",
"眍","kau1",
"峟","jau6",
"䑿","suk1",
"䡆","jung4",
"婚","fan1",
"趥","cau1",
"𡄟","haa1",
"噐","hei3",
"𦂊","fù",
"秃","tuk1",
"𨻪","ling4",
"臮","kei3",
"澥","haai5",
"泮","pun3",
"痹","bei3",
"𡞪","fú",
"棬","hyun1",
"仫","muk6",
"𤛐","ōu",
"𱖰","tuó",
"啂","nau5",
"𣉕","sàng",
"𣰠","qú",
"䍫","to4",
"䜲","lip6",
"湗","fung6",
"𪊥","huán",
"䫻","yù",
"㺤","cim1",
"㡥","yìn",
"𩀿","jīn",
"䗤","yóng",
"㑣","lán",
"仉","zoeng2",
"𦐖","zhǐ",
"𦘶","xūn",
"𡦎","xì",
"𣋡","mung4",
"兗","jin2",
"絹","gyun3",
"𣤶","zú,zā,zǎn",
"湋","wai4",
"𡟇","fui3",
"𤋨","duò",
"𣣜","yǒu",
"壀","pei4",
"㝉","cyu5",
"𣑃","zhuǎ",
"蒦","wok6",
"䗘","gap3",
"硩","zit3",
"鱺","lei4",
"肤","fu1",
"颸","si1",
"𥇍","coek3",
"𣬼","pī",
"𣔗","shēn",
"㸶","yān",
"𰛊","maa5",
"鸳","jyun1",
"垬","hung4",
"㼚","gong1",
"簟","tim5",
"荊","ging1",
"睕","wǎn,wàn,wān",
"𠗫","wun6",
"羐","jau5",
"孨","zyun2",
"錯","co3",
"軳","pou4",
"𤥮","zhū",
"嚞","zit3",
"𰴚","leoi5",
"𧃟","yì",
"笑","siu3",
"仸","jiu2",
"炳","bing2",
"𥨕","xǐng",
"眇","miu5",
"𧲿","gòu",
"𡭿","chǎng",
"𤫶","qià",
"㜚","suk1",
"䒹","loi6",
"䡀","zhǎn,zhàn",
"𧻜","guì,kuǐ",
"𤉤","biē",
"牺","hei1",
"瘃","zuk1",
"趗","cuk1",
"噒","leon1",
"㥓","qī",
"𮳃","ji4",
"秽","wai3",
"舨","baan2",
"澧","lai5",
"泠","ling4",
"痻","man4",
"𩉾","xiá",
"𢁉","seon3",
"棦","caang1",
"𥃽","yāng",
"啄","doek3",
"𧦧","yí,tuō",
"䍭","zong1",
"𨦭","láo",
"邺","jip6",
"湙","jik6",
"酈","lik6",
"𨛊","yín",
"𡭂","dé",
"𩜟","àng",
"𦙝","xī",
"𨤴","xiè",
"𧒈","lì",
"㡗","tai4",
"蜖","wui4",
"𢲈","kik1",
"䗦","fung1",
"袬","yù",
"櫣","lin4",
"𦳚","chí",
"𪍪","bì",
"絻","man6",
"龘","daap6",
"𠛅","kau1",
"𨻱","bēng",
"湅","lin6",
"䕿","hon3",
"𬶮","hei1",
"𢔴","yù",
"𧥅","kwai4",
"𤡤","náo,nà,rú",
"𧎫","suǒ",
"壺","wu4",
"𡻞","bì",
"𱇲","fu1",
"㝃","min5",
"𥲎","lù",
"蒘","rú,ná",
"㱸","bì",
"䗒","bing6",
"硣","haau1",
"鱼","jyu4",
"肞","caa1",
"颲","lit6",
"䦈","ze1",
"𬮟","leon6",
"㘵","bou3",
"㸰","tuó",
"𤕚","huī",
"齅","cau3",
"鸥","au1",
"𰬱","sok3",
"𪚷","bǒ",
"𥼼","fū",
"垮","kwaa1",
"𥝒","guà",
"筙","loi4",
"莄","gang2",
"𩼙","gé",
"睗","sik1",
"𩒘","chǒng",
"羂","gyun3",
"𤬨","fàn",
"孢","baau1",
"軥","keoi4",
"佰","baak3",
"嚠","lau4",
"𤿗","wà",
"㗩","sap1",
"舶","bok6",
"炵","tung1",
"眉","mei4",
"𢆸","bēng",
"𠵉","hong4",
"𥑾","è",
"𤡧","xiè",
"𣹩","xié",
"𠚽","jī",
"𨞎","lìng",
"䒻","hei2",
"𠐊","shù",
"䡂","kau1",
"𨆙","sè",
"婆","po4",
"跑","paau2",
"噌","zang1",
"𠔺","qiān",
"𱈂","jyu4",
"积","zik1",
"航","hong4",
"澡","cou3",
"泚","ci2",
"痵","gwai3",
"𡷻","yà",
"椘","co2",
"𢴱","léi",
"𪕊","zī",
"虵","se4",
"唾","to3",
"𮝴","gu1",
"㔞","kuài",
"邼","hong1",
"溓","lim5",
"瓧","sap6",
"𡶥","jiā",
"𥼂","cuī",
"𥈆","mào",
"烢","caak3",
"鑡","cuk1",
"䗠","syun4",
"錹","hang2",
"𢺡","zhuó",
"㴇","shè,máng",
"𫍣","tung4",
"𤑚","jing4",
"𩅻","zyu3",
"吢","cam3",
"綵","coi2",
"𥆣","shēn",
"𰾗","kim4",
"𩩄","yán",
"渷","jin5",
"𥗛","cin4",
"壼","kwan2",
"㝅","gau3",
"蒒","si1",
"䗄","fu2",
"硥","mong5",
"肐","gat1",
"𧸅","zhǐ",
"𤣘","líng",
"颴","syun4",
"𬢿","tap1",
"𨐴","pì",
"𤅟","lou6",
"㘷","ài",
"𡎒","kuò",
"㹢","gaa1",
"𡺇","duǒ",
"鸟","niu5",
"𢜗","bàng",
"垨","sau2",
"𥣛","méng",
"筋","gan1",
"莆","pou4",
"𦂃","ting1",
"睑","gim2",
"𧌊","xiè",
"罼","bat1",
"媔","min4",
"鞠","guk1",
"軟","jyun5",
"𩛳","zài,cān",
"嚚","ngan4",
"𩴧","jiāo",
"㗣","tì",
"𪒂","mò",
"舸","go2",
"𩉍","jiǎn",
"睃","so1",
"𠩪","cuì",
"𠻞","kǎng",
"𥌊","pàn",
"䒵","hào",
"𱉸","tou4",
"䠼","syu3",
"𦧛","tà",
"婀","o2",
"跓","cyu5",
"噾","jam1",
