"hanzi","pinyin","english_definition"
"𦨇","yì",
"梂","kau4",
"䮓","zhuō,chào",
"谵","zim1",
"𨺤","pì",
"𣣲","xié",
"䲾","haau2",
"陇","lung5",
"佡","hin1",
"𱩽","è",
"𧰠","liè",
"𦗥","piē",
"䬐","ruí",
"搽","caa4",
"歸","gwai1",
"𱂯","seoi6",
"总","zung2",
"𩒊","zhǔ",
"𨸝","shì",
"𪒢","pū",
"𫓸","faan6",
"𮝺","got3",
"㕶","ng2",
"儔","cau4",
"锻","dyun3",
"𠌰","gài",
"皖","wun2",
"𧎷","chǔ",
"弭","mai5",
"𠉢","xǐ",
"𠟦","sè",
"䐈","zik1",
"𧥿","xùn",
"䩜","zau6",
"铭","ming4",
"鰘","sat1",
"𠢥","bèi",
"𧆻","gū",
"𡇿","wān",
"類","leoi6",
"𩟠","mó",
"祌","zung6",
"𧴌","fú",
"樎","suk1",
"𡡥","qú",
"𣈅","cáo",
"𠡣","gěng",
"𡃢","xì",
"𦐰","chài",
"㯁","pui4",
"𡳸","lì",
"䋼","ting1",
"暭","hou6",
"鏙","ceoi1",
"𡱱","zhù",
"甼","ting5",
"勓","hat6",
"𦈸","yù",
"𮸕","fuk1",
"𣅍","miàn,bīng",
"躑","zaak6",
"𰽝","lik6",
"㩳","sung2",
"窧","coek3",
"䊮","dik6",
"鋋","sin4",
"髶","jung4",
"𣿅","dung2",
"𡤅","can1",
"齵","jyu4",
"𥳎","qióng",
"牭","sei3",
"料","liu6",
"𥇖","fēi",
"淔","zik6",
"琨","kwan1",
"冷","laang5",
"姲","aan3",
"贽","zi3",
"誶","seoi6",
"鵬","paang4",
"𧢆","chuāng",
"蚴","jau3",
"敋","gok3",
"𩜆","jī",
"沆","hong4",
"狚","daan3",
"悉","sik1",
"梄","jau5",
"𦿂","yuán",
"谯","ciu4",
"𢢜","yè",
"𧧃","jì",
"䲸","gaai3",
"陉","jing4",
"𣥋","fǔ",
"𲍳","yǒu",
"婣","jan1",
"𥝍","yù,wáng",
"𨭉","bān",
"搿","gaap3",
"䏟","bié,bì",
"𤨶","gǒng",
"怵","zeot1",
"𬬵","cam4",
"𥐯","taan4",
"谓","wai6",
"㕸","lap1",
"䮬","mò",
"拱","gung2",
"皘","sin3",
"𩷾","qí",
"弧","wu4",
"𣨇","mào",
"𩬭","shī",
"𣘲","shēn",
"𤅸","yán,yàn",
"𢻚","qí",
"𢔇","táo",
"漯","taap3",
"𨯵","hing1",
"䩞","tip3",
"鐧","gaan2",
"𣺳","jiāo",
"鱒","zyun1",
"𨸆","pì",
"䦬","kyut3",
"顐","wan6",
"𤬫","suì",
"𩹼","hàn",
"𡷸","xiāo",
"疄","leon6",
"𰑵","dai3",
"䮥","lik6",
"𥋥","jí",
"𦓔","ér,xū",
"𡹘","qǐ",
"𧆜","xū",
"㮻","sou1",
"𣴽","tàn",
"䋶","seoi1",
"暧","oi3",
"鏋","mun5",
"甶","fat6",
"包","baau1",
"𧉆","jí",
"躋","zai1",
"𨩩","mào",
"𦩸","ruò",
"㪭","lou4",
"窩","wo1",
"䊨","lo4",
"銽","cim1",
"髸","gung1",
"𧞍","niè",
"𦸈","guó",
"爚","joek6",
"𨚫","koek3",
"𢼹","pū,bǔ",
"蟼","ging2",
"斛","huk6",
"淆","ngaau4",
"琚","geoi1",
"冱","wu6",
"姬","gei1",
"𨱌","gun3",
"赯","tong4",
"誸","jin4",
"鵤","gok3",
"蚮","taai3",
"敍","zeoi6",
"𭹜","lo4",
"汸","fong1",
"狌","sing1",
"悃","kwan2",
"梾","loi4",
"谡","suk1",
"𪋢","mí",
"䁾","mit6",
"隃","jyu4",
"𧥋","wò",
"葻","laam4",
"𡄒","dào",
"𦀘","pī,bī",
"𠂢","paai3",
"𩴒","jiàng",
"𨤱","zhí",
"裟","saa1",
"搹","ngak1",
"此","ci2",
"𩽧","shuāng",
"𧙖","wu2",
"怷","sik1",
"𠈬","xiāo",
"𩴟","chě",
"𤛬","mì",
"𩩅","tóng",
"谍","dip6",
"㟄","coeng4",
"𨿇","zuǐ",
"㕲","muk1",
"𨌑","zhèn",
"䮦","giu1",
"挫","co3",
"歖","hei2",
"弩","nou5",
"僑","kiu4",
"𰬑","zang1",
"𧴬","rèn",
"䐄","haam6",
"𠵈","mui2",
"䩘","dì",
"鐙","dang3",
"鱔","sin5",
"齋","zaai1",
"顊","ji4",
"𩐝","wan6",
"祸","wo6",
"倬","coek3",
"當","dong1",
"帕","paak3",
"𢩯","jué",
"㮽","pun4",
"褊","bin2",
"暩","zai3",
"鐅","pit3",
"𰼑","mai4",
"用","jung6",
"佣","jung2",
"𩨎","ji6",
"𩙾","zhī",
"霾","maai4",
"蹽","liu1",
"䬒","sau1",
"㪯","geoi2",
"窣","seot1",
"䋚","yì",
"𧙅","pō",
"銷","siu1",
"𰏶","kui2",
"髲","bei6",
"𩫓","gǎo",
"𫹴","wai5",
"𨏒","luò,léi",
"𰚔","ning4",
"𡍮","seoi4",
"𧠡","shī",
"蟾","sim4",
"斕","laan4",
"𣏴","jan4",
"淀","din6",
"琔","din6",
"决","kyut3",
"姞","gat1",
"𪚑","lóng",
"赩","sik1",
"課","fo3",
"𢎎","sù",
"䆆","cou3",
"撇","pit3",
"𠞾","jìn",
"沲","to4",
"䥶","lik6",
"駖","ling4",
"悅","jyut6",
"閛","pēng,pèng",
"械","haai6",
"𡿨","hyun2",
"𤛣","tà",
"谛","dai3",
"𣓥","jau4",
"𢎂","cái",
"䁸","náng,nǒng",
"𤢪","lip6",
"𣄎","fù",
"𠜅","jiǎo",
"搫","pun4",
"武","mou5",
"𩧈","dú",
"恱","jyut6",
"𨈕","wǎi",
"𧞞","xióng",
"谏","gaan3",
"𧤜","nè,lì",
"㕤","qiú",
"𨮻","chán",
"䮘","ér",
"镡","taam4",
"的","dik1",
"𨻌","lěi",
