hanzi,other_hanzi,relation
蕝,𫈵,simplified
蕟,𬜧,simplified
蕡,𰱟,simplified
蕢,簣,semantic
蕢,籄,semantic
蕢,蒉,simplified
蕣,橓,semantic
蕤,甤,semantic
蕧,𰱦,simplified
蕩,偒,semantic
蕩,盪,semantic
蕩,蘯,semantic
蕩,荡,simplified
蕪,芜,simplified
蕭,萧,simplified
蕰,薀,traditional
蕲,蘄,traditional
蕳,𫈉,simplified
蕴,藴,traditional
蕴,蘊,traditional
蕷,蓣,simplified
蕽,𫇽,simplified
蕿,萱,semantic
薀,蕰,simplified
薅,茠,semantic
薆,𫉁,simplified
薈,荟,simplified
薉,𬜨,simplified
薊,蓟,simplified
薋,𰱱,simplified
薌,芗,simplified
薑,葁,semantic
薑,姜,simplified
薔,蔷,simplified
薖,𰰾,simplified
薘,荙,simplified
薟,蘞,semantic
薟,莶,simplified
薠,𮐚,simplified
薦,荐,semantic
薦,荐,simplified
薩,萨,simplified
薮,藪,traditional
薯,藷,semantic
薱,𰰱,simplified
薲,𬝯,simplified
薳,䓕,simplified
薴,苧,simplified
薵,䓓,simplified
薺,荠,simplified
藇,𨣦,semantic
藇,𰰠,simplified
藉,耤,semantic
藉,借,simplified
藉,藉,simplified
藉,藉,traditional
藍,蓝,simplified
藎,荩,simplified
藓,蘚,traditional
藖,𬜾,simplified
藘,𰱮,simplified
藚,𰱐,simplified
藜,蔾,semantic
藝,埶,semantic
藝,秇,semantic
藝,蓺,semantic
藝,艺,simplified
藟,蘽,semantic
藣,𰱯,simplified
藤,籐,semantic
藥,葯,semantic
藥,药,simplified
藦,蘑,semantic
藪,薮,simplified
藬,𬞘,simplified
藭,䓖,simplified
藰,𰰹,simplified
藴,蕴,simplified
藶,苈,simplified
藷,薯,semantic
藷,𫉄,simplified
藹,蔼,simplified
藺,蔺,simplified
藾,𰱾,simplified
蘀,萚,simplified
蘂,蕊,semantic
蘄,蕲,simplified
蘆,芦,semantic
蘆,芦,simplified
蘇,苏,simplified
蘈,𰲁,simplified
蘊,蕴,simplified
蘋,苹,simplified
蘋,𬞟,simplified
蘐,萱,semantic
蘑,藦,semantic
蘖,櫱,semantic
蘖,蘖,simplified
蘖,櫱,traditional
蘖,蘖,traditional
蘚,藓,simplified
蘞,薟,semantic
蘞,蔹,simplified
蘟,𦻕,simplified
蘡,𮐨,simplified
蘢,茏,simplified
蘤,花,semantic
蘫,𬞫,simplified
蘬,𰰮,simplified
蘭,兰,simplified
蘭,𬞕,simplified
蘯,盪,semantic
蘯,蕩,semantic
蘱,𰲒,simplified
蘵,𰱲,simplified
蘷,𧅄,spoofing
蘷,虁,z-variant
蘹,𬜸,simplified
蘺,蓠,simplified
蘽,藟,semantic
蘿,萝,simplified
虁,𧅄,spoofing
虁,蘷,z-variant
虅,𰲂,simplified
虆,蔂,simplified
虉,𬟁,simplified
虏,虜,traditional
虐,䖈,semantic
虑,慮,traditional
虓,唬,semantic
虓,猇,semantic
虔,䖍,semantic
處,䖏,semantic
處,処,semantic
處,处,simplified
虚,虛,traditional
虛,虚,simplified
虜,擄,semantic
虜,虏,simplified
虞,𩦢,semantic
號,号,semantic
號,号,simplified
虣,暴,semantic
虦,𰲠,simplified
虧,亏,simplified
虫,蟲,semantic
虫,虫,simplified
虫,虫,traditional
虫,蟲,traditional
虬,蚪,semantic
虬,虯,semantic
虬,虬,simplified
虬,虬,traditional
虬,虯,traditional
虮,蟣,traditional
虯,虬,semantic
虯,虬,simplified
虱,蝨,semantic
虽,雖,traditional
虾,虾,simplified
虾,虾,traditional
虾,蝦,traditional
虿,蠆,traditional
蚀,蝕,traditional
蚁,蚁,simplified
蚁,蚁,traditional
蚁,蟻,traditional
蚂,螞,traditional
蚃,蠁,traditional
蚊,蟁,semantic
蚋,蜹,semantic
蚌,蜯,semantic
蚓,螾,semantic
蚕,蠶,semantic
蚕,蚕,simplified
蚕,𧉕,spoofing
蚕,蚕,traditional
蚕,蠶,traditional
蚘,痐,semantic
蚘,蛔,semantic
蚘,蛕,semantic
蚝,螆,semantic
蚡,鼢,semantic
蚤,䖣,semantic
蚦,蚺,semantic
蚪,虬,semantic
蚬,蜆,traditional
蚺,蚦,semantic
蛄,蛌,semantic
蛆,𧐅,semantic
蛊,蠱,traditional
蛋,疍,semantic
蛋,蜑,semantic
蛌,蛄,semantic
蛎,蠣,traditional
蛏,蟶,traditional
蛓,螆,semantic
蛔,蚘,semantic
蛔,蛕,semantic
蛕,蚘,semantic
蛕,蛔,semantic
蛗,𧌓,semantic
蛙,鼃,semantic
蛛,鼄,semantic
蛮,蛮,simplified
蛮,蛮,traditional
蛮,蠻,traditional
蛰,蛰,simplified
蛰,蛰,traditional
蛰,蟄,traditional
蛱,蛺,traditional
蛲,蟯,traditional
蛳,螄,traditional
蛴,蠐,traditional
蛵,𰲶,simplified
蛺,蛱,simplified
蛻,蜕,simplified
蛻,蜕,z-variant
蛼,𰲬,simplified
蜂,蠭,semantic
蜆,蚬,simplified
蜇,𧋍,semantic
蜋,螂,semantic
蜍,蠩,semantic
蜑,蛋,semantic
蜕,蛻,traditional
蜕,蛻,z-variant
蜗,蝸,traditional
蜝,蜞,semantic
蜞,蜝,semantic
蜡,䄍,semantic
蜡,蠟,semantic
蜡,蜡,simplified
蜡,蜡,traditional
蜡,蠟,traditional
蜦,𰲰,simplified
蜨,蝶,semantic
蜫,䖵,semantic
蜯,蚌,semantic
蜶,蟀,semantic
蜸,𰲮,simplified
蜹,蚋,semantic
蜽,𮔊,simplified
蝀,𬟽,simplified
蝁,𰲸,simplified
蝃,螮,semantic
蝇,蠅,semantic
蝇,蠅,traditional
蝈,蟈,traditional
蝉,蟬,traditional
蝎,蠍,semantic
蝕,蚀,simplified
蝜,𮔅,simplified
蝟,猬,semantic
蝟,猬,simplified
蝡,蠕,semantic
蝥,蟊,semantic
蝦,鰕,semantic
蝦,虾,simplified
蝨,虱,semantic
蝯,猨,semantic
蝯,猿,semantic
蝱,䖟,semantic
蝶,蜨,semantic
蝸,蜗,simplified
蝼,蝼,simplified
蝼,蝼,traditional
蝼,螻,traditional
蝾,蠑,traditional
螀,螿,traditional
螂,蜋,semantic
螄,蛳,simplified
螆,蚝,semantic
螆,蛓,semantic
融,螎,semantic
螎,融,semantic
螗,螳,semantic
螘,蟻,semantic
螘,𰲹,simplified
螙,蠧,semantic
螞,蚂,simplified
螢,萤,simplified
螨,蟎,traditional
螮,蝃,semantic
螮,䗖,simplified
螳,螗,semantic
螴,𰳄,simplified
螹,𰳂,simplified
螺,蠃,semantic
螻,蝼,simplified
螾,蚓,semantic
螿,螀,simplified
蟀,蜶,semantic
蟁,蚊,semantic
蟂,𫋇,simplified
蟄,蛰,simplified
蟈,蝈,simplified
蟊,蝥,semantic
蟎,螨,simplified
蟏,蠨,traditional
蟘,𫋌,simplified
蟚,蟛,semantic
蟛,蟚,semantic
蟜,𫊸,simplified
蟡,𰲲,simplified
蟣,虮,simplified
蟦,𰳊,simplified
蟬,蝉,simplified
蟮,蟺,semantic
蟯,蛲,simplified
蟱,𰲫,simplified
蟲,虫,semantic
蟲,虫,simplified
蟳,𫊻,simplified
蟶,蛏,simplified
蟷,𬠅,simplified
蟹,蠏,semantic
蟺,蟮,semantic
蟻,螘,semantic
蟻,蚁,simplified
蟽,𰲻,simplified
蠀,𧏗,simplified
蠁,蚃,simplified
蠃,螺,semantic
蠅,蝇,semantic
蠅,蝇,simplified
蠆,虿,simplified
蠈,𬠠,simplified
蠌,𰲵,simplified
蠍,蝎,semantic
蠏,蟹,semantic
蠐,蛴,simplified
蠑,蝾,simplified
蠒,𫊱,simplified
蠔,𧐢,semantic
蠕,蝡,semantic
蠙,𧏖,simplified
蠞,𬝋,simplified
蠟,蜡,semantic
蠟,蜡,simplified
蠣,蛎,simplified
蠦,𫊮,simplified
蠧,螙,semantic
蠨,蟏,simplified
蠩,蜍,semantic
蠪,𰲴,simplified
蠭,蜂,semantic
蠱,蛊,simplified
蠳,𰳗,simplified
蠶,蚕,semantic
蠶,蚕,simplified
蠻,蛮,simplified
蠾,𧑏,simplified
衂,衄,semantic
衄,衂,semantic
衅,釁,semantic
衅,衅,simplified
衅,衅,traditional
衅,釁,traditional
衆,眾,semantic
衆,𬑔,semantic
衆,众,simplified
衇,脈,semantic
衇,脉,semantic
衊,蔑,simplified
術,术,simplified
衔,銜,traditional
衕,同,simplified
衚,胡,simplified
衛,衞,semantic
衛,卫,simplified
衝,𧘂,semantic
衝,冲,simplified
衞,衛,semantic
衣,衤,semantic
衤,衣,semantic
补,补,simplified
补,补,traditional
补,補,traditional
表,表,simplified
表,表,traditional
表,錶,traditional
衬,襯,traditional
衮,袞,semantic
衮,衮,simplified
衮,衮,traditional
衮,袞,traditional
衹,只,simplified
衽,袵,semantic
衿,紟,semantic
衿,襟,semantic
袄,袄,simplified
袄,袄,traditional
袄,襖,traditional
袅,裊,traditional
袆,褘,traditional
袋,帒,semantic
袒,襢,semantic
袚,䘠,spoofing
袜,襪,semantic
袜,袜,simplified
袜,袜,traditional
袜,襪,traditional
袞,衮,semantic
袞,衮,simplified
袠,帙,semantic
袭,襲,traditional
袯,襏,traditional
袴,絝,semantic
袴,褲,semantic
袵,衽,semantic
袷,裌,semantic
装,裝,traditional
裆,襠,traditional
裈,褌,traditional
裉,褃,semantic
裊,袅,simplified
裌,袷,semantic
裌,𬡒,simplified
裏,裡,semantic
裏,里,simplified
裙,帬,semantic
裙,裠,semantic
補,补,simplified
裝,装,simplified
裠,裙,semantic
裡,裏,semantic
裡,裡,simplified
裡,里,simplified
裡,裡,traditional
裢,褳,traditional
裣,襝,traditional
裤,褲,traditional
裥,襇,traditional
裲,𮖁,simplified
裸,臝,semantic
裸,躶,semantic
製,制,simplified
褃,裉,semantic
複,复,simplified
褌,裈,simplified
褎,褏,semantic
褏,褎,semantic
褒,襃,semantic
褓,緥,semantic
褘,袆,simplified
褛,褸,traditional
褝,襌,traditional
褟,溻,semantic
褢,褱,semantic
褧,絅,semantic
褭,𬡇,simplified
褱,褢,semantic
褲,絝,semantic
褲,袴,semantic
褲,裤,simplified
褳,裢,simplified
褴,襤,traditional
褵,縭,semantic
褶,襵,semantic
褸,褛,simplified
褺,䙝,semantic
褺,褻,semantic
褺,𬡓,simplified
褻,䙝,semantic
褻,褺,semantic
褻,亵,simplified
襀,𫌀,simplified
襁,繈,semantic
襁,繦,semantic
襂,𰴂,simplified
襃,褒,semantic
襄,㐮,semantic
襇,襉,semantic
襇,裥,simplified
襉,襇,semantic
襌,褝,simplified
襍,雜,semantic
襏,袯,simplified
襓,𫋹,simplified
襕,襴,traditional
襖,澳,semantic
襖,𥜌,semantic
襖,袄,simplified
襗,𫋷,simplified
襘,𫋻,simplified
襛,𰳺,simplified
襜,襝,semantic
襝,襜,semantic
襝,裣,simplified
襟,衿,semantic
襠,裆,simplified
襢,袒,semantic
襤,褴,simplified
襨,𰳸,simplified
襪,袜,semantic
襪,韤,semantic
襪,韈,semantic
襪,袜,simplified
襬,䙓,simplified
襬,摆,simplified
襭,𮖱,simplified
襮,幞,semantic
襯,儭,semantic
襯,衬,simplified
襰,𧝝,simplified
襱,𰳲,simplified
襲,袭,simplified
襴,襕,simplified
襵,褶,semantic
襵,𫌇,simplified
襸,𬡷,simplified
襹,𰳼,simplified
襼,𰳵,simplified
西,㢴,semantic
西,𠧧,semantic
覆,复,simplified
覆,覆,simplified
覆,覆,traditional
覇,霸,semantic
覉,羇,semantic
覊,羈,semantic
見,见,simplified
覌,觀,semantic
覎,觃,simplified
規,规,simplified
覐,覺,semantic
覒,𬆾,simplified
覓,覔,semantic
覓,觅,simplified
覔,覓,semantic
覕,𰴕,simplified
視,眎,semantic
視,视,simplified
覗,𬢊,simplified
覘,䀡,semantic
覘,䦓,semantic
覘,觇,simplified
覛,𫌪,simplified
覜,𬢋,simplified
覟,𬢌,simplified
覠,𰴙,simplified
覡,觋,simplified
覢,𬊦,simplified
覤,𬟪,simplified
覥,靦,semantic
覥,觍,simplified
覦,觎,simplified
覩,睹,semantic
覩,𬢎,simplified
親,亲,simplified
覬,觊,simplified
覭,𬢒,simplified
覯,觏,simplified
覰,覷,semantic
覰,𰴜,simplified
覲,觐,simplified
覴,𬢔,simplified
覶,𰴝,simplified
覷,覰,semantic
覷,觑,simplified
覸,𰴘,simplified
覹,𫌭,simplified
覺,覐,semantic
覺,觉,simplified
覻,𰴞,simplified
覼,𫌨,simplified
覽,览,simplified
覿,觌,simplified
觀,覌,semantic
觀,观,simplified
见,見,traditional
观,觀,traditional
觃,覎,traditional
规,規,traditional
觅,覓,traditional
视,視,traditional
觇,覘,traditional
览,覽,traditional
觉,覺,traditional
觊,覬,traditional
觋,覡,traditional
觌,覿,traditional
觍,覥,traditional
觎,覦,traditional
觏,覯,traditional
觐,覲,traditional
觑,覷,traditional
觔,斤,semantic
觕,粗,semantic
觕,麄,semantic
觕,麤,semantic
觜,咀,semantic
觜,嘴,semantic
觝,牴,semantic
觞,觴,traditional
解,觧,semantic
觥,觵,semantic
触,觸,traditional
觧,解,semantic
觯,觶,traditional
觴,觞,simplified
觵,觥,semantic
觶,觯,simplified
觷,𰴣,simplified
觸,触,simplified
觹,𧤤,simplified
觻,𰴢,simplified
觽,𧥅,simplified
言,訁,semantic
訁,言,semantic
訁,讠,simplified
訂,订,simplified
訃,讣,simplified
訆,𰵊,simplified
訇,𢕐,semantic
訇,渹,semantic
訇,𥔀,semantic
計,计,simplified
訊,讯,simplified
訌,讧,simplified
討,讨,simplified
訏,𬣙,simplified
訐,讦,simplified
訑,𫍙,simplified
訒,讱,simplified
訓,训,simplified
訕,赸,semantic
訕,讪,simplified
訖,讫,simplified
託,侂,semantic
託,讬,simplified
記,记,simplified
訚,誾,traditional
訛,譌,semantic
訛,讹,simplified
訜,𫍛,simplified
訝,讶,simplified
訞,𫍚,simplified
訞,䚶,spoofing
訟,讼,simplified
訠,矧,semantic
訢,䜣,simplified
訣,诀,simplified
訥,吶,semantic
訥,讷,simplified
訦,諶,semantic
訦,𰵒,simplified
訧,𰵎,simplified
訨,𫟞,simplified
訩,詾,semantic
訩,讻,simplified
訪,访,simplified
訬,𰵏,simplified
設,设,simplified
訮,詽,z-variant
訰,𰵍,simplified
許,许,simplified
訴,愬,semantic
訴,诉,simplified
訶,诃,simplified
訸,𰵝,simplified
訹,𰵓,simplified
診,诊,simplified
註,注,simplified
註,𬣣,simplified
証,證,semantic
訽,詬,semantic
訽,𰵛,simplified
詀,𧮪,simplified
詁,诂,simplified
詃,𬣤,simplified
詄,𰵙,simplified
詅,𰵚,simplified
詆,诋,simplified
詇,𰵗,simplified
詉,𰵠,simplified
詊,𫟟,simplified
詋,呪,semantic
詌,𬣠,simplified
詍,𰵔,simplified
詎,讵,simplified
詏,𬣦,simplified
詐,诈,simplified
詑,𫍡,simplified
詒,诒,simplified
詓,𫍜,simplified
詔,诏,simplified
評,评,simplified
詖,诐,simplified
詗,诇,simplified
詘,诎,simplified
詛,诅,simplified
詜,𬣥,simplified
詝,𬣞,simplified
詞,词,simplified
詟,讋,traditional
詠,咏,semantic
詠,咏,simplified
詠,𰵞,simplified
詡,诩,simplified
詢,询,simplified
詣,诣,simplified
詤,謊,semantic
詥,𰵣,simplified
試,试,simplified
詧,察,semantic
詨,𰵦,simplified
詩,诗,simplified
詪,𬣳,simplified
詫,诧,simplified
詬,訽,semantic
詬,诟,simplified
詭,诡,simplified
詮,诠,simplified
詯,𬣰,simplified
詰,诘,simplified
話,䛡,semantic
話,话,simplified
該,该,simplified
詳,详,simplified
詴,𬣩,simplified
詵,侁,semantic
詵,駪,semantic
詵,诜,simplified
詶,𬣱,simplified
詷,𫍣,simplified
詺,𬣮,simplified
詻,𰵤,simplified
詼,诙,simplified
詽,訮,z-variant
詾,訩,semantic
詿,诖,simplified
誂,𫍥,simplified
誃,𰵥,simplified
誄,诔,simplified
誅,诛,simplified
誆,诓,simplified
誇,夸,semantic
誇,夸,simplified
誉,誉,simplified
誉,誉,traditional
誉,譽,traditional
誊,謄,traditional
誋,𫍪,simplified
誌,志,simplified
誌,𰵧,simplified
認,认,simplified
誎,𬣷,simplified
誏,𬣼,simplified
誐,哦,semantic
誐,𰵮,simplified
誑,诳,simplified
誒,诶,simplified
誔,𬣻,simplified
誕,𧩙,semantic
誕,诞,simplified
誗,𰵭,simplified
誘,䛻,semantic
誘,诱,simplified
誙,𰵡,simplified
誚,譙,semantic
誚,诮,simplified
誜,𰵯,simplified
語,语,simplified
誠,诚,simplified
誡,诫,simplified
誣,诬,simplified
誤,悞,semantic
誤,误,simplified
誥,诰,simplified
誦,诵,simplified
誧,𰵩,simplified
誨,诲,simplified
誩,競,semantic
說,说,simplified
說,説,z-variant
誫,𫍨,simplified
説,说,simplified
説,說,z-variant
誰,谁,simplified
課,课,simplified
誳,𫍮,simplified
誴,𫟡,simplified
誶,谇,simplified
誷,𫍬,simplified
誹,诽,simplified
誺,𫍧,simplified
誻,𰵸,simplified
誼,谊,simplified
誽,𰵵,simplified
誾,訚,simplified
調,调,simplified
諁,啜,semantic
諁,𰵷,simplified
諂,谄,simplified
諃,𰵱,simplified
諄,谆,simplified
諆,𰵲,simplified
談,譚,semantic
談,谈,simplified
諈,𰵶,simplified
諉,餵,semantic
諉,诿,simplified
諊,鞫,semantic
請,请,simplified
諌,𮷅,simplified
諍,诤,simplified
諎,𬣾,simplified
諏,诹,simplified
諑,诼,simplified
諒,谅,simplified
諓,𬣡,simplified
諔,𰵴,simplified
諕,唬,semantic
諕,𬤀,simplified
論,论,simplified
諗,谂,simplified
諛,谀,simplified
諜,谍,simplified
諝,谞,simplified
諞,谝,simplified
諟,𬤊,simplified
諠,喧,semantic
諠,𬤎,simplified
諡,謚,semantic
諢,诨,simplified
諣,𫍩,simplified
諤,讍,semantic
諤,谔,simplified
諥,𫍳,simplified
諦,谛,simplified
諧,龤,semantic
諧,谐,simplified
諩,𬣲,simplified
諫,谏,simplified
諭,谕,simplified
諮,咨,semantic
諮,嗞,semantic
諮,谘,simplified
諯,𫍱,simplified
諰,𫍰,simplified
諱,讳,simplified
諲,𬤇,simplified
諳,谙,simplified
諴,𫍯,simplified
諵,喃,semantic
諶,訦,semantic
諶,谌,simplified
諷,讽,simplified
諸,诸,simplified
諹,𰵌,simplified
諺,谚,simplified
諻,𬤍,simplified
諼,谖,simplified
諾,诺,simplified
謀,谋,simplified
謁,谒,simplified
謂,谓,simplified
謄,誊,simplified
謅,诌,simplified
謆,𫍸,simplified
謉,𫍷,simplified
謊,詤,semantic
謊,谎,simplified
謋,𰵼,simplified
謌,歌,semantic
謌,𬤐,simplified
謍,𰴯,simplified
謎,谜,simplified
謏,𫍲,simplified
謐,谧,simplified
謑,𰵾,simplified
謔,谑,simplified
謖,谡,simplified
謗,谤,simplified
謙,谦,simplified
謚,諡,semantic
謚,谥,simplified
講,讲,simplified
謜,𰵺,simplified
謝,谢,simplified
謞,𰵿,simplified
謟,𰵽,simplified
謠,谣,simplified
謠,謡,z-variant
謡,谣,simplified
謡,謠,z-variant
謣,𰶀,simplified
謥,𰶂,simplified
謨,谟,simplified
謫,讁,semantic
謫,谪,simplified
謬,谬,simplified
謭,谫,simplified
謯,𫍹,simplified
謰,𬣽,simplified
謱,嘍,semantic
謱,𫍴,simplified
謲,𬢳,simplified
謲,𬤄,simplified
謳,讴,simplified
謴,𬤆,simplified
謵,𰶃,simplified
謸,𫍵,simplified
謹,谨,simplified
謹,𧫴,spoofing
謻,𰶁,simplified
謼,𬤙,simplified
謾,谩,simplified
譀,𰶆,simplified
譁,嘩,semantic
譂,𫟠,simplified
譄,𬤤,simplified
譅,𰶎,simplified
譆,𫍻,simplified
譇,𰶄,simplified
譈,憝,semantic
譈,懟,semantic
譈,𬤣,simplified
證,証,semantic
證,证,simplified
譊,𫍢,simplified
譌,訛,semantic
譌,𰵑,simplified
譎,憰,semantic
譎,谲,simplified
譏,讥,simplified
譐,噂,semantic
譐,𬤢,simplified
譑,𫍤,simplified
譒,𮷊,simplified
譓,𬤝,simplified
譔,𬤥,simplified
譖,谮,simplified
識,识,simplified
譙,誚,semantic
譙,谯,simplified
譚,談,semantic
譚,谭,simplified
譜,谱,simplified
譞,𫍽,simplified
譟,噪,semantic
譟,𬤨,simplified
譠,𰶉,simplified
譡,𬣭,simplified
警,儆,semantic
譨,𫍦,simplified
譩,𰶊,simplified
譫,谵,simplified
譭,䛼,semantic
譯,译,simplified
議,议,simplified
譳,𰶌,simplified
譴,谴,simplified
護,护,simplified
譸,诪,simplified
譸,𬢪,simplified
譹,𬤫,simplified
譺,𬤩,simplified
譻,𬢯,simplified
譼,䛓,simplified
譽,誉,simplified
譾,谫,simplified
譾,𫍿,simplified
譿,𬤭,simplified
讀,读,simplified
讁,謫,semantic
讂,𰶍,simplified
讅,谉,simplified
讆,𬣀,simplified
讆,讏,spoofing
讇,𬤛,simplified
讉,𬤦,simplified
變,变,semantic
變,変,semantic
變,变,simplified
讋,詟,simplified
讌,宴,semantic
讌,䜩,simplified
讍,諤,semantic
讎,仇,semantic
讎,讐,semantic
讎,雠,simplified
讏,讆,spoofing
讐,仇,semantic
讐,讎,semantic
讑,𰶏,simplified
讒,谗,simplified
讓,让,simplified
讔,𮙊,simplified
讕,谰,simplified
讖,谶,simplified
讘,囁,semantic
讘,𰵹,simplified
讙,𬤰,simplified
讚,𬤮,simplified
讛,囈,semantic
讛,𰵖,simplified
讜,谠,simplified
讝,𰵨,simplified
讞,谳,simplified
讟,𮙋,simplified
讠,訁,traditional
计,計,traditional
订,訂,traditional
讣,訃,traditional
认,認,traditional
讥,譏,traditional
讦,訐,traditional
讧,訌,traditional
讨,討,traditional
让,讓,traditional
讪,訕,traditional
讫,訖,traditional
讬,託,traditional
训,訓,traditional
议,議,traditional
讯,訊,traditional
记,記,traditional
讱,訒,traditional
讲,講,traditional
讳,諱,traditional
讴,謳,traditional
讵,詎,traditional
讶,訝,traditional
讷,訥,traditional
许,許,traditional
讹,訛,traditional
论,論,traditional
讻,訩,traditional
讼,訟,traditional
讽,諷,traditional
设,設,traditional
访,訪,traditional
诀,訣,traditional
证,證,traditional
诂,詁,traditional
诃,訶,traditional
评,評,traditional
诅,詛,traditional
识,識,traditional
诇,詗,traditional
诈,詐,traditional
诉,訴,traditional
诊,診,traditional
诋,詆,traditional
诌,謅,traditional
词,詞,traditional
诎,詘,traditional
诏,詔,traditional
诐,詖,traditional
译,譯,traditional
诒,詒,traditional
诓,誆,traditional
诔,誄,traditional
试,試,traditional
诖,詿,traditional
诗,詩,traditional
诘,詰,traditional
诙,詼,traditional
诚,誠,traditional
诛,誅,traditional
诜,詵,traditional
话,話,traditional
诞,誕,traditional
诟,詬,traditional
诠,詮,traditional
诡,詭,traditional
询,詢,traditional
诣,詣,traditional
诤,諍,traditional
该,該,traditional
详,詳,traditional
诧,詫,traditional
诨,諢,traditional
诩,詡,traditional
诪,譸,traditional
诫,誡,traditional
诬,誣,traditional
语,語,traditional
诮,誚,traditional
误,誤,traditional
诰,誥,traditional
诱,誘,traditional
诲,誨,traditional
诳,誑,traditional
说,說,traditional
说,説,traditional
诵,誦,traditional
诶,誒,traditional
请,請,traditional
诸,諸,traditional
诹,諏,traditional
诺,諾,traditional
读,讀,traditional
诼,諑,traditional
诽,誹,traditional
课,課,traditional
诿,諉,traditional
谀,諛,traditional
谁,誰,traditional
谂,諗,traditional
调,調,traditional
谄,諂,traditional
谅,諒,traditional
谆,諄,traditional
谇,誶,traditional
谈,談,traditional
谉,讅,traditional
谊,誼,traditional
谋,謀,traditional
谌,諶,traditional
谍,諜,traditional
谎,謊,traditional
谏,諫,traditional
谐,諧,traditional
谑,謔,traditional
谒,謁,traditional
谓,謂,traditional
谔,諤,traditional
谕,諭,traditional
谖,諼,traditional
谗,讒,traditional
谘,諮,traditional
谙,諳,traditional
谚,諺,traditional
谛,諦,traditional
谜,謎,traditional
谝,諞,traditional
谞,諝,traditional
谟,謨,traditional
谠,讜,traditional
谡,謖,traditional
谢,謝,traditional
谣,謠,traditional
谣,謡,traditional
谤,謗,traditional
谥,謚,traditional
谦,謙,traditional
谧,謐,traditional
谨,謹,traditional
谩,謾,traditional
谪,謫,traditional
谫,謭,traditional
谫,譾,traditional
谬,謬,traditional
谭,譚,traditional
谮,譖,traditional
谯,譙,traditional
谰,讕,traditional
谱,譜,traditional
谲,譎,traditional
谳,讞,traditional
谴,譴,traditional
谵,譫,traditional
谶,讖,traditional
谷,谷,simplified
谷,穀,traditional
谷,谷,traditional
谿,嵠,semantic
豄,𰶔,simplified
豅,𰶑,simplified
豆,荳,semantic
豇,䜶,semantic
豈,岂,simplified
豋,登,semantic
豎,竪,semantic
豎,竖,simplified
豐,丰,simplified
豓,艶,semantic
豓,豔,semantic
豔,艶,semantic
豔,豓,semantic
豘,豚,semantic
豚,豘,semantic
豜,豣,semantic
豜,豣,z-variant
豝,羓,semantic
豣,豜,semantic
豣,豜,z-variant
豫,預,semantic
豬,猪,semantic
豬,猪,simplified
豮,豶,traditional
豳,㟗,semantic
豳,邠,semantic
豴,蹢,semantic
豵,䝋,semantic
豵,𫎆,simplified
豶,豮,simplified
豸,廌,semantic
豺,犲,semantic
豻,犴,semantic
貌,皃,semantic
貍,狸,semantic
貎,皃,semantic
貓,猫,semantic
貓,猫,simplified
貗,𫎌,simplified
貙,䝙,simplified
貛,獾,semantic
貝,贝,simplified
貞,贞,simplified
貟,贠,simplified
負,负,simplified
財,㒲,semantic
財,财,simplified
貢,贡,simplified
貣,𰷞,simplified
貤,𰷠,simplified
貦,𰷡,simplified
貧,贫,simplified
貨,货,simplified
販,𧶶,semantic
販,贩,simplified
貪,贪,simplified
貫,贯,simplified
責,责,simplified
貭,質,semantic
貯,𮷍,semantic
貯,贮,simplified
貰,贳,simplified
貱,𬥶,simplified
貲,赀,simplified
貳,二,semantic
貳,弍,semantic
貳,贰,simplified
貴,贵,simplified
貶,贬,simplified
買,买,simplified
買,𧹒,simplified
貸,贷,simplified
貺,贶,simplified
費,费,simplified
貼,贴,simplified
貽,贻,simplified
貾,𰷢,simplified
貿,贸,simplified
賀,贺,simplified
賁,贲,simplified
賂,赂,simplified
賃,赁,simplified
賄,贿,simplified
賅,侅,semantic
賅,赅,simplified
資,资,simplified
賈,贾,simplified
賊,贼,simplified
賍,贓,semantic
賍,贜,semantic
賑,赈,simplified
賒,赊,simplified
賓,賔,semantic
賓,宾,simplified
賔,賓,semantic
賕,赇,simplified
賗,𬥸,simplified
賙,赒,simplified
賚,赉,simplified
賛,贊,semantic
賜,赐,simplified
賝,𫎩,simplified
賞,赏,simplified
賟,𧹖,simplified
賠,赔,simplified
賡,赓,simplified
賢,贒,semantic
賢,贤,simplified
賣,卖,simplified
賤,贱,simplified
賥,𰷤,simplified
賦,赋,simplified
賧,赕,simplified
賨,𰷥,simplified
質,貭,semantic
質,质,simplified
賫,齎,semantic
賫,赍,simplified
賬,帳,semantic
賬,账,simplified
賬,𧹔,simplified
賭,赌,simplified
賮,贐,semantic
賮,𰷧,simplified
賰,䞐,simplified
賴,頼,semantic
賴,赖,simplified
賵,赗,simplified
賶,𬥳,simplified
賷,齎,semantic
賸,剩,semantic
賸,𬂉,simplified
賹,𰷪,simplified
賺,贃,semantic
賺,赚,simplified
賻,赙,simplified
購,购,simplified
賽,赛,simplified
賾,赜,simplified
贃,賺,semantic
贃,𧸖,semantic
贃,𧹗,simplified
贄,贽,simplified
贅,赘,simplified
贆,𰷫,simplified
贇,赟,simplified
贈,赠,simplified
贉,𫎫,simplified
贊,賛,semantic
贊,赞,simplified
贋,偐,semantic
贋,贗,semantic
贋,赝,simplified
贍,赡,simplified
贏,赢,simplified
贐,賮,semantic
贐,赆,simplified
贑,𫎬,simplified
