hanzi,other_hanzi,relation
䍀,繿,traditional
䍁,繸,traditional
䍤,𫅅,simplified
䍷,𬙭,simplified
䍽,𦍠,simplified
䎘,𬚄,simplified
䎙,𫅭,simplified
䎛,㖈,z-variant
䎬,䎱,traditional
䎱,䎬,simplified
䏊,𰭹,simplified
䏓,朊,spoofing
䏕,飪,semantic
䏝,膞,traditional
䐠,㬻,spoofing
䐢,𰮙,simplified
䐣,𬁽,simplified
䐪,臇,traditional
䐰,饈,semantic
䐷,𬂅,simplified
䐹,𰮲,simplified
䐽,𰯎,simplified
䑃,朦,spoofing
䑗,𬛹,simplified
䑼,𰰌,simplified
䒒,苕,semantic
䓓,薵,traditional
䓕,𮷣,spoofing
䓕,薳,traditional
䓖,藭,traditional
䓣,𬜯,simplified
䓨,罃,traditional
䔇,𰰴,simplified
䔈,𰱀,simplified
䔛,檾,semantic
䔡,𬝁,simplified
䕌,稚,semantic
䕏,𮶝,simplified
䕡,𰱩,simplified
䕤,𫟕,simplified
䕭,蕁,semantic
䕳,𦰴,simplified
䕹,𰰶,simplified
䕼,𬝴,simplified
䖀,𰲖,simplified
䖅,𫟑,simplified
䖈,虐,semantic
䖍,虔,semantic
䖏,処,semantic
䖏,處,semantic
䖚,𰲟,simplified
䖟,蝱,semantic
䖣,蚤,semantic
䖵,蜫,semantic
䖼,𧍕,traditional
䗃,𰲳,simplified
䗅,𫊪,simplified
䗖,螮,traditional
䗥,𰲯,simplified
䗦,䗬,semantic
䗬,䗦,semantic
䗻,𮔂,simplified
䗽,𰳚,simplified
䗿,𧉞,simplified
䘑,脉,semantic
䘚,卒,semantic
䘛,𧝞,traditional
䘞,𧜗,traditional
䘠,袚,spoofing
䘺,綻,semantic
䙊,𧜵,traditional
䙌,䙡,traditional
䙓,襬,traditional
䙔,𫋲,simplified
䙝,褻,semantic
䙝,褺,semantic
䙡,䙌,simplified
䙱,𧜭,simplified
䙼,𰴖,simplified
䚆,𬢑,simplified
䚉,𬢐,simplified
䚎,𥅾,semantic
䚕,𰴗,simplified
