"hanzi","part_symbol","relation","position"
"伀","公","component","2"
"企","人","component","1"
"企","止","component","2"
"伂","亻","component","1"
"伂","巿","component","2"
"伃","予","component","2"
"伃","亻","component","1"
"伄","亻","component","1"
"伄","弔","component","2"
"伅","亻","component","1"
"伅","屯","component","2"
"伆","亻","component","1"
"伆","勿","component","2"
"伇","亻","component","1"
"伇","殳","component","2"
"伈","亻","component","1"
"伈","心","component","2"
"伉","亢","component","2"
"伉","亻","component","1"
"伊","亻","component","1"
"伊","尹","component","2"
"伋","亻","component","1"
"伋","及","component","2"
"伌","亻","component","1"
"伌","厄","component","2"
"伍","五","component","2"
"伍","亻","component","1"
"伎","亻","component","1"
"伎","支","component","2"
"伏","亻","component","1"
"伏","犬","component","2"
"伐","亻","component","1"
"伐","戈","component","2"
"休","亻","component","1"
"休","木","component","2"
"伒","亻","component","1"
"伒","斤","component","2"
"伓","不","component","2"
"伓","亻","component","1"
"伔","亻","component","1"
"伔","冗","component","2"
"伕","亻","component","1"
"伕","夫","component","2"
"伖","亻","component","1"
"伖","友","component","2"
"众","人","component","1"
"优","亻","component","1"
"优","尤","component","2"
"伙","亻","component","1"
"伙","火","component","2"
"会","亼","component","1"
"伛","亻","component","1"
"伛","区","component","2"
"伜","亻","component","1"
"伜","卆","component","2"
"伝","云","component","2"
"伝","亻","component","1"
"伞","人","component","1"
"伟","亻","component","1"
"伟","韦","component","2"
"传","专","component","2"
"传","亻","component","1"
"伡","亻","component","1"
"伡","车","component","2"
"伢","亻","component","1"
"伢","牙","component","2"
"伣","亻","component","1"
"伣","见","component","2"
"伤","力","component","1"
"伥","亻","component","1"
"伥","长","component","2"
"伦","亻","component","1"
"伦","仑","component","2"
"伧","亻","component","1"
"伧","仓","component","2"
"伨","亻","component","1"
"伨","匀","component","2"
"伩","亻","component","1"
"伩","文","component","2"
"伪","为","component","2"
"伪","亻","component","1"
"伫","亻","component","1"
"伫","㝉","component","2"
"伬","亻","component","1"
"伬","尺","component","2"
"伭","亻","component","1"
"伭","玄","component","2"
"伮","亻","component","1"
"伮","奴","component","2"
"伯","亻","component","1"
"伯","白","component","2"
"估","亻","component","1"
"估","古","component","2"
"伱","亻","component","1"
"伱","尒","component","2"
"伲","亻","component","1"
"伲","尼","component","2"
"伳","世","component","2"
"伳","亻","component","1"
"伴","亻","component","1"
"伴","半","component","2"
"伵","亻","component","1"
"伵","四","component","2"
"伶","亻","component","1"
"伶","令","component","2"
"伷","亻","component","1"
"伷","由","component","2"
"伸","亻","component","1"
"伸","申","component","2"
"伹","且","component","2"
"伹","亻","component","1"
"伺","亻","component","1"
"伺","司","component","2"
"伻","亻","component","1"
"伻","平","component","2"
"似","亻","component","1"
"似","以","component","2"
"伽","亻","component","1"
"伽","加","component","2"
"伾","丕","component","2"
"伾","亻","component","1"
"伿","亻","component","1"
"伿","只","component","2"
"佀","亻","component","1"
"佀","㠯","component","2"
"佁","亻","component","1"
"佁","台","component","2"
"佂","亻","component","1"
"佂","正","component","2"
"佃","亻","component","1"
"佃","田","component","2"
"佄","亻","component","1"
"佄","甘","component","2"
"佅","亻","component","1"
"佅","未","component","2"
"但","亻","component","1"
"但","旦","component","2"
"佇","亻","component","1"
"佇","宁","component","2"
"佈","亻","component","1"
"佈","布","component","2"
"佉","亻","component","1"
"佉","去","component","2"
"佊","亻","component","1"
"佊","皮","component","2"
"佋","亻","component","1"
"佋","召","component","2"
"佌","亻","component","1"
"佌","此","component","2"
"位","亻","component","1"
"位","立","component","2"
"低","亻","component","1"
"低","氐","component","2"
"住","主","component","2"
"住","亻","component","1"
"佐","亻","component","1"
"佐","左","component","2"
"佑","亻","component","1"
"佑","右","component","2"
"佒","亻","component","1"
"佒","央","component","2"
"体","亻","component","1"
"体","本","component","2"
"佔","亻","component","1"
"佔","占","component","2"
"何","亻","component","1"
"何","可","component","2"
"佖","亻","component","1"
"佖","必","component","2"
"佗","亻","component","1"
"佗","它","component","2"
"佘","人","component","1"
"佘","示","component","2"
"余","亼","component","1"
"余","朩","component","2"
"佚","亻","component","1"
"佚","失","component","2"
"佛","亻","component","1"
"佛","弗","component","2"
"作","乍","component","2"
"作","亻","component","1"
"佝","亻","component","1"
"佝","句","component","2"
"佞","仁","component","1"
"佞","女","component","2"
"佟","亻","component","1"
"佟","冬","component","2"
"你","亻","component","1"
"你","尔","component","2"
"佡","亻","component","1"
"佡","仚","component","2"
"佢","亻","component","1"
"佢","巨","component","2"
"佣","亻","component","1"
"佣","用","component","2"
"佤","亻","component","1"
"佤","瓦","component","2"
"佥","亼","component","1"
"佦","亻","component","1"
"佦","石","component","2"
"佧","亻","component","1"
"佧","卡","component","2"
"佨","亻","component","1"
"佨","包","component","2"
"佩","亻","component","1"
"佩","凧","component","2"
"佪","亻","component","1"
"佪","回","component","2"
"佫","亻","component","1"
"佫","各","component","2"
"佬","亻","component","1"
"佬","老","component","2"
"佭","亻","component","1"
"佭","夅","component","2"
"佮","亻","component","1"
"佮","合","component","2"
"佯","亻","component","1"
"佯","羊","component","2"
"佰","亻","component","1"
"佰","百","component","2"
"佱","亼","component","1"
"佱","正","component","2"
"佲","亻","component","1"
"佲","名","component","2"
"佳","亻","component","1"
"佳","圭","component","2"
"佴","亻","component","1"
"佴","耳","component","2"
"併","亻","component","1"
"併","并","component","2"
"佶","亻","component","1"
"佶","吉","component","2"
"佷","亻","component","1"
"佷","艮","component","2"
"佸","亻","component","1"
"佸","舌","component","2"
"佹","亻","component","1"
"佹","危","component","2"
"佺","亻","component","1"
"佺","全","component","2"
"佻","亻","component","1"
"佻","兆","component","2"
"佼","交","component","2"
"佼","亻","component","1"
"佽","亻","component","1"
"佽","次","component","2"
"佾","亻","component","1"
"佾","䏌","component","2"
"使","亻","component","1"
"使","吏","component","2"
"侀","亻","component","1"
"侀","刑","component","2"
"侁","亻","component","1"
"侁","先","component","2"
"侂","亻","component","1"
"侂","㡯","component","2"
"侃","亻","component","1"
"侄","亻","component","1"
"侄","至","component","2"
"侅","亥","component","2"
"侅","亻","component","1"
"來","从","component","2"
"來","木","component","1"
"侇","亻","component","1"
"侇","夷","component","2"
"侈","亻","component","1"
"侈","多","component","2"
"侉","亻","component","1"
"侉","夸","component","2"
"侊","亻","component","1"
"侊","光","component","2"
"例","亻","component","1"
"例","列","component","2"
"侌","云","component","2"
"侌","今","component","1"
"侍","亻","component","1"
"侍","寺","component","2"
"侎","亻","component","1"
"侎","米","component","2"
"侏","亻","component","1"
"侏","朱","component","2"
"侐","亻","component","1"
"侐","血","component","2"
"侑","亻","component","1"
"侑","有","component","2"
"侒","亻","component","1"
"侒","安","component","2"
"侓","亻","component","1"
"侓","聿","component","2"
"侔","亻","component","1"
"侔","牟","component","2"
"侕","亻","component","1"
"侕","而","component","2"
"侖","亼","component","1"
"侗","亻","component","1"
"侗","同","component","2"
"侘","亻","component","1"
"侘","宅","component","2"
"侙","亻","component","1"
"侙","式","component","2"
"侚","亻","component","1"
"侚","旬","component","2"
"供","亻","component","1"
"供","共","component","2"
"侜","亻","component","1"
"侜","舟","component","2"
"依","亻","component","1"
"依","衣","component","2"
"侞","亻","component","1"
"侞","如","component","2"
"侟","亻","component","1"
"侟","存","component","2"
"侠","亻","component","1"
"侠","夹","component","2"
"価","亻","component","1"
